,DIPUTADO,BLOQUE,PROVINCIA,¿CÓMO VOTÓ?
240,"VARGAS MATYI, BRENDA",Union Por La Patria,Buenos Aires,NEGATIVO
241,"VASQUEZ, PATRICIA",Pro,Buenos Aires,AFIRMATIVO
242,"VEGA, YOLANDA",Innovacion Federal,Salta,AFIRMATIVO
243,"VERASAY, PAMELA FERNANDA",Ucr - Union Civica Radical,Mendoza,AFIRMATIVO
244,"VIDAL, MARIA EUGENIA",Pro,C.A.B.A.,AFIRMATIVO
245,"VILCA, ALEJANDRO",Pts-frente De Izquierda Unidad,Jujuy,NEGATIVO
246,"VILLAVERDE, LORENA",La Libertad Avanza,Rio Negro,AFIRMATIVO
247,"VOLNOVICH, LUANA",Union Por La Patria,Buenos Aires,NEGATIVO
248,"YASKY, HUGO",Union Por La Patria,Buenos Aires,NEGATIVO
249,"YEDLIN, PABLO RAUL",Union Por La Patria,Tucumán,NEGATIVO
250,"YEZA, MARTIN",Pro,Buenos Aires,AFIRMATIVO
251,"YUTROVIC, CAROLINA",Union Por La Patria,Tierra del Fuego,NEGATIVO
252,"ZABALA CHACUR, NATALIA",Union Por La Patria,San Luis,AUSENTE
253,"ZAGO, OSCAR",Mid - Movimiento De Integracion Y Desarrollo,C.A.B.A.,AFIRMATIVO
254,"ZAPATA, CARLOS RAUL",La Libertad Avanza,Salta,AFIRMATIVO
255,"ZARACHO, NATALIA",Union Por La Patria,Buenos Aires,NEGATIVO
256,"ZULLI, CHRISTIAN ALEJANDRO",Union Por La Patria,Corrientes,NEGATIVO
